"id","url","name","seasonId","number","airstamp","runtime","image_medium","image_original","summary"
"694","http://www.tvmaze.com/episodes/40694/friends-3x01-the-one-with-the-princess-leia-fantasy","The One With the Princess Leia Fantasy","3","1","1996-09-16T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114556.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114556.jpg","Janice tries to change Joey's opinion of her; Ross's sexual fantasy 
isn't kept between him and Rachel; Monica can't shake memories of 
Richard."
"695","http://www.tvmaze.com/episodes/40695/friends-3x02-the-one-where-no-ones-ready","The One Where No One's Ready","3","2","1996-09-26T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114557.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114557.jpg","Nobody seems to be getting the message when Ross demands that the group get ready for his black-tie benefit."
"696","http://www.tvmaze.com/episodes/40696/friends-3x03-the-one-with-the-jam","The One With the Jam","3","3","1996-10-03T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114563.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114563.jpg","Monica turns her attention from making jam to maybe making a baby; Phoebe befriends a guy who's stalking her twin sister."
"697","http://www.tvmaze.com/episodes/40697/friends-3x04-the-one-with-the-metaphorical-tunnel","The One With the Metaphorical Tunnel","3","4","1996-10-10T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114564.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114564.jpg","Chandler decides to make a real commitment to Janice; Phoebe poses as Joey's agent; Ross is troubled by Ben's toy."
"698","http://www.tvmaze.com/episodes/40698/friends-3x05-the-one-with-frank-jr","The One With Frank Jr.","3","5","1996-10-17T20:00:00-04:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114565.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114565.jpg","The gang compiles ""freebie lists""; Phoebe tries to get to know her half 
brother; Joey builds an entertainment center."
"699","http://www.tvmaze.com/episodes/40699/friends-3x06-the-one-with-the-flashback","The One With the Flashback","3","6","1996-10-31T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114566.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114566.jpg","The show flashes back to when the friends were acquaintances and pairing off was a possibility."
"700","http://www.tvmaze.com/episodes/40700/friends-3x07-the-one-with-the-race-car-bed","The One With the Race Car Bed","3","7","1996-11-07T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114567.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114567.jpg","Monica orders a bed from the store owned by Janice's estranged husband; 
Joey teaches soap-opera acting; Ross struggles through a dinner with 
Rachel's abrasive father."
"701","http://www.tvmaze.com/episodes/40701/friends-3x08-the-one-with-the-giant-poking-device","The One With the Giant Poking Device","3","8","1996-11-14T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114573.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114573.jpg","Joey reveals to Chandler that he saw Janice kissing her estranged 
husband; Rachel and Monica baby-sit Ben; Phoebe explains her fear of the
 dentist."
"702","http://www.tvmaze.com/episodes/40702/friends-3x09-the-one-with-the-football","The One With the Football","3","9","1996-11-21T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114585.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114585.jpg","Ross and Monica go nose-to-nose in an unfriendly Thanksgiving football game."
"703","http://www.tvmaze.com/episodes/40703/friends-3x10-the-one-where-rachel-quits","The One Where Rachel Quits","3","10","1996-12-12T20:00:00-05:00","30","http://static.tvmaze.com/uploads/images/medium_landscape/45/114587.jpg","http://static.tvmaze.com/uploads/images/original_untouched/45/114587.jpg","Rachel quits Central Perk; Phoebe objects to the treatment of Christmas 
trees; Ross sells cookies for a ""Brown Bird"" scout he injured; Monica 
gets hooked on Mint Treasures."
